LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID16584,16584,54,9.314062118530273,140.0240752074586,100.11034553449855,0.0,3284.270425796509,923,0.9173455633626398,1,,4307.773195876289,4152.0,1423.0,8592.0,417854.0,1822.2825573596945,662.3092783505155,648.0,540.0,907.0,64244.0,91.2267505569618,0.5290622921566573,1.6358698111866794,0.03398012677163308,0.47717912023575415
ID14536,14536,54,12.059083938598633,144.24649140860095,96.6972291171221,0.0,5454.806676864624,1533,1.055740629011364,1,,1391.4961240310076,1442.0,904.0,2066.0,179503.0,292.545539297704,665.062015503876,630.0,521.0,944.0,85793.0,101.41658764241188,0.20689017976216972,1.6307622127235546,0.06213238259417992,0.7672245726401481
ID10443,10443,54,97.97200775146484,127.19700951596536,115.2251547724862,0.0,1227.5983715057373,345,1.124938161835726,1,,1662.8418079096045,1494.0,652.0,3078.0,294323.0,630.5562279854655,610.5310734463277,583.0,494.0,937.0,108064.0,84.92791325241276,0.3326899822021909,1.3166419917253458,0.03815176459333185,0.5283735855554589
ID16589,16589,54,10.542923927307129,140.013421748535,100.1023310749565,0.0,3287.828681945801,924,0.9173455633626398,1,,4137.226804123711,3718.0,1302.0,8955.0,401311.0,2037.7941122344491,666.5567010309278,641.0,545.0,993.0,64656.0,96.19067100817749,0.49487248036285564,1.3442132716439583,0.03717734672980997,0.4967747453242512
ID14542,14542,54,9.757481575012207,144.21315603637828,96.67591368302092,0.0,5458.364933013916,1534,1.055740629011364,1,,1368.3333333333333,1420.0,875.0,1923.0,176515.0,283.86865177108456,653.1240310077519,635.0,526.0,909.0,84253.0,80.816633474329,0.2023937396949363,1.6227620247670647,0.05250177270678391,0.8062617099165107
ID10447,10447,54,100.64125061035156,127.34889716887496,114.96161340418453,0.0,1231.1566276550293,346,1.124938161835726,1,,1640.225988700565,1479.0,603.0,3144.0,290320.0,676.6764659333312,608.5706214689266,583.0,484.0,996.0,107717.0,88.48977108425245,0.33977313696867534,1.2294486265545606,0.04002106158162542,0.5292908389155646
ID16594,16594,54,8.504582405090332,140.03574467429024,100.01371281066332,0.0,3291.386938095093,925,0.9173455633626398,1,,4364.701030927835,4148.0,1285.0,9522.0,423376.0,2078.0475921169595,649.1546391752578,631.0,515.0,892.0,62968.0,83.09712442454831,0.524515054049787,1.4452908302420757,0.03190537820454333,0.4830768064988144
ID10451,10451,54,108.9380111694336,127.61533522234645,114.59026456992225,0.0,1234.7148838043213,347,1.124938161835726,1,,1714.2824858757062,1487.0,662.0,3279.0,303428.0,713.9834313223777,603.6497175141243,576.0,496.0,905.0,106846.0,80.70415538212687,0.35288268477176277,1.2525482390019445,0.037959103228426334,0.5470849935778795
ID14548,14548,54,11.824544906616211,144.16801041248672,96.8195592306433,0.0,5461.923189163208,1535,1.055740629011364,1,,1375.0697674418604,1393.0,854.0,1933.0,177384.0,304.60240955543463,661.7829457364342,624.0,531.0,1141.0,85370.0,106.39790890510886,0.2008521102975101,1.5101089042317932,0.05578148150027614,0.6572467972959488
ID16599,16599,54,10.374886512756348,140.10824603150004,99.89100471443594,0.0,3294.9451942443848,926,0.9173455633626398,1,,4628.79381443299,4304.0,1613.0,10028.0,448993.0,1915.1793211197412,659.7422680412371,642.0,526.0,946.0,63995.0,88.39321221471553,0.5524534685300959,1.7201467544664257,0.045099232707387506,0.6441648343667217
ID10456,10456,54,96.61909484863281,127.82527369135283,114.1332262468907,0.0,1238.2731399536133,348,1.124938161835726,1,,1624.2146892655367,1406.0,648.0,3125.0,287486.0,644.0595233017883,610.5084745762712,583.0,488.0,987.0,108060.0,86.57137876316466,0.3169101340660715,1.213744879537325,0.03750233320077271,0.5098196427231367
ID14553,14553,54,11.182262420654297,144.21228636485006,96.88095514696889,0.0,5465.4814453125,1536,1.055740629011364,1,,1357.2713178294573,1373.0,868.0,1913.0,175088.0,278.6439190508758,659.9767441860465,633.0,534.0,978.0,85137.0,91.2736668894258,0.19462985634620797,1.587169082993276,0.05740996689655494,0.7851579390676254
ID16604,16604,54,8.588495254516602,140.0804154767187,100.01305206665462,0.0,3298.5034503936768,927,0.9173455633626398,1,,4573.556701030928,4287.0,1855.0,8913.0,443635.0,1768.4102911058287,655.1134020618557,636.0,530.0,902.0,63546.0,81.89002741083361,0.5611568001875502,1.859254043882276,0.02729378998033375,0.425093677785825
ID10461,10461,54,89.31826782226562,127.83060847154493,113.8455036932717,0.0,1241.8313961029053,349,1.124938161835726,1,,1587.3389830508474,1440.0,649.0,2843.0,280959.0,578.0226858408648,616.9887005649717,580.0,502.0,984.0,109207.0,91.6497153631302,0.3017292739647781,1.273067907583104,0.04636527350316734,0.5966032208953609
ID14559,14559,54,10.520252227783203,144.0385048713911,96.90251951061673,0.0,5469.039701461792,1537,1.055740629011364,1,,1383.2093023255813,1390.0,897.0,2012.0,178434.0,289.94562190657524,662.8914728682171,634.0,530.0,933.0,85513.0,89.11686852019072,0.20214442679653627,1.6043771426989382,0.053951949220796505,0.7615507307811393
ID16609,16609,54,11.5523681640625,140.1034572188983,99.856180131845,0.0,3302.0617065429688,928,0.9173455633626398,1,,4308.556701030928,4342.0,1219.0,8053.0,417930.0,2067.536920111062,660.6185567010309,633.0,545.0,974.0,64080.0,92.87451696812131,0.5015982687031721,1.3922294133552802,0.04100091304786003,0.5603077301097839
ID10466,10466,54,88.81620788574219,127.9525914579958,113.62508962586764,0.0,1245.3896522521973,350,1.124938161835726,1,,1594.1920903954801,1408.0,658.0,3073.0,282172.0,569.2337326942973,610.1525423728814,590.0,498.0,857.0,107997.0,79.44190563764519,0.30368716039526394,1.3047672874954408,0.04154735426596716,0.6127497187426133
